Espèce,Numéro nomenclatural,Nom retenu,Numéro nomenclatural nom retenu,Numéro taxonomique,Famille,Referentiel taxonomique,Commune,Identifiant Commune,Date,Lieu-dit,Station,Milieu,Notes,Latitude,Longitude,Altitude,Référentiel Géographique,Lumière,Température,Continentalité,Humidité Atmosphérique,Humidité,Réaction (pH),Nutriments,Salinité,Texture,Matière Organique,Code Catminat,Syntaxon,ext:personneStructure,ext:personneService,ext:personneFonction,ext:adresse,ext:latitudeDebutRue,ext:longitudeDebutRue,ext:latitudeFinRue,ext:longitudeFinRue,ext:typoUrbaine,ext:revetementSol,ext:presenceZoneVegetalise,ext:hauteurBatimentAvoisinant,ext:intensiteGestion,ext:periodiciteTraitementPhyto,ext:itineraireGestion,ext:dateDerniereIntervention,ext:hauteurPlante,ext:resistanceTraitementPhyto,ext:vitesseCroissance,ext:perceptionTechnicien,ext:perceptionRiverainMauvaise,ext:coteRue,ext:apparence
Alnus glutinosa (L.) Gaertn.,3318,Alnus glutinosa (L.) Gaertn.,3318,1321,Betulaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calystegia sepium (L.) R.Br.,12341,Convolvulus sepium L.,18805,2448,Convolvulaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carthamus lanatus L.,75034,Carthamus lanatus L.,75034,30026,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelidonium majus L.,16703,Chelidonium majus L.,16703,4026,Papaveraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium album L.,16741,Chenopodium album L.,16741,2335,Amaranthaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrilla juncea L.,17040,Chondrilla juncea L.,17040,647,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorium intybus L.,17314,Cichorium intybus L.,17314,661,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis vitalba L.,18235,Clematis vitalba L.,18235,4436,Ranunculaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conium maculatum L.,18660,Conium maculatum L.,18660,144,Apiaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convolvulus arvensis L.,75060,Convolvulus arvensis L.,75060,30052,Convolvulaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis foetida L.,19654,Crepis foetida L.,19654,719,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis pulchra L.,19738,Crepis pulchra L.,19738,728,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta campestris Yunck.,20311,Cuscuta campestris Yunck.,20311,2562,Convolvulaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynodon dactylon (L.) Pers.,20551,Cynodon dactylon (L.) Pers.,20551,6750,Poaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datura stramonium L.,21654,Datura stramonium L.,21654,5544,Solanaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daucus carota L.,21674,Daucus carota L.,21674,151,Apiaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echium vulgare L.,23559,Echium vulgare L.,23559,9898,Boraginaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum ramosissimum Desf.,24561,Equisetum ramosissimum Desf.,24561,7402,Equisetaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ficus carica L.,75134,Ficus carica L.,75134,30126,Moraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium aparine L.,28896,Galium aparine L.,28896,5037,Rubiaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gleditsia triacanthos L.,30278,Gleditsia triacanthos L.,30278,2918,Fabaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliotropium europaeum L.,31468,Heliotropium europaeum L.,31468,1382,Boraginaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humulus lupulus L.,34958,Humulus lupulus L.,34958,1947,Cannabaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypericum perforatum L.,35348,Hypericum perforatum L.,35348,3494,Hypericaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isatis tinctoria L.,36014,Isatis tinctoria L.,36014,1723,Brassicaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juncus inflexus L.,36551,Juncus inflexus L.,36551,6146,Juncaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca serriola L.,37373,Lactuca serriola L.,37373,991,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium latifolium L.,38523,Lepidium latifolium L.,38523,1737,Brassicaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus corniculatus L.,39988,Lotus corniculatus L.,39988,2988,Fabaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludwigia peploides (Kunth) P.H.Raven,40139,Ludwigia peploides (Kunth) P.H.Raven,40139,3910,Onagraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus europaeus L.,40533,Lycopus europaeus L.,40533,3576,Lamiaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum salicaria L.,40631,Lythrum salicaria L.,40631,3792,Lythraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago lupulina L.,41325,Medicago lupulina L.,41325,3029,Fabaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica ciliata L.,41683,Melica ciliata L.,41683,6993,Poaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus albus Medik.,41764,Melilotus albus Medik.,41764,3053,Fabaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis annua L.,42320,Mercurialis annua L.,42320,2751,Euphorbiaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onopordum tauricum Willd.,44965,Onopordum tauricum Willd.,44965,1084,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phalaris arundinacea L.,48632,Phalaris arundinacea L.,48632,7043,Poaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picris echioides L.,49346,Helminthotheca echioides (L.) Holub,31546,1101,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago coronopus L.,49875,Plantago coronopus L.,49875,4088,Plantaginaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata L.,49948,Plantago lanceolata L.,49948,4094,Plantaginaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum aviculare L.,51363,Polygonum aviculare L.,51363,4224,Polygonaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Populus alba L.,51965,Populus alba L.,51965,5124,Salicaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potamogeton crispus L.,52159,Potamogeton crispus L.,52159,7225,Potamogetonaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potamogeton nodosus Poir.,52264,Potamogeton nodosus Poir.,52264,7227,Potamogetonaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rostraria cristata (L.) Tzvelev,57834,Rostraria cristata (L.) Tzvelev,57834,7117,Poaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubia tinctorum L.,57890,Rubia tinctorum L.,57890,5098,Rubiaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,6,6,4,3,4,7,3,0,3,2,09/2.0.1,,,,,,,,,,,,,,,,,,,,,,,,
Salix alba L.,59255,Salix alba L.,59255,5134,Salicaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambucus ebulus L.,60236,Sambucus ebulus L.,60236,1967,Adoxaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambucus nigra L.,60241,Sambucus nigra L.,60241,1968,Adoxaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambucus racemosa L.,75811,Sambucus racemosa L.,75811,30737,Adoxaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scirpoides holoschoenus (L.) Soják,61535,Scirpoides holoschoenus (L.) Soják,61535,6047,Cyperaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophularia auriculata L.,61973,Scrophularia auriculata L.,61973,5458,Scrophulariaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silene latifolia Poir.,64191,Silene latifolia Poir.,64191,14524,Caryophyllaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sixalix atropurpurea (L.) Greuter & Burdet,64813,Scabiosa atropurpurea L.,61092,14549,Caprifoliaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus oleraceus L.,65205,Sonchus oleraceus L.,65205,1232,Asteraceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tordylium maximum L.,68543,Tordylium maximum L.,68543,306,Apiaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torilis arvensis (Huds.) Link,68554,Torilis arvensis (Huds.) Link,68554,14807,Apiaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium campestre Schreb.,75495,Trifolium campestre Schreb.,75495,30487,Fabaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium repens L.,69341,Trifolium repens L.,69341,14834,Fabaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbascum phlomoides L.,70920,Verbascum phlomoides L.,70920,5482,Scrophulariaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbascum sinuatum L.,70972,Verbascum sinuatum L.,70972,5485,Scrophulariaceae,bdtfx,Montpellier,34,2011/06/17,Le Lez entre entre port Marianne et pont Trinquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia villosa subsp. eriocarpa (Hausskn.) P.W.Ball,77065,Vicia eriocarpa (Hausskn.) Halácsy,77066,31114,Fabaceae,bdtfx,Montpellier,34,2011/05/11,,,,Plusieurs pieds en fleurs sur une pente de talus  mais beaucoup fauchés la veille sur le bord de la route . Identification sûre .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus coccifera,54390,Quercus coccifera L.,54390,3283,Fagaceae,bdtfx,Montpellier,34,2010/09/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus halepensis subsp. halepensis,49624,Pinus halepensis subsp. halepensis ,49624,7279,Pinaceae,bdtfx,Montpellier,34,2011/11/24,faculté des sciences UM2,devant bat 7,terre plein parking,,"43,63148","3,8628",,WGS84,8,8,3,3,3,7,4,0,5,4,16/3.,,,,,,,,,,,,,,,,,,,,,,,,
Diospyros kaki L.f.,22549,Diospyros kaki L.f.,22549,2631,Ebenaceae,bdtfx,Montpellier,34,2011/12/01,,,,,,,,,0,0,0,0,0,0,0,0,0,0,15/1.,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/12/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium barbarum L.,40437,Lycium barbarum L.,40437,5548,Solanaceae,bdtfx,Montpellier,34,2011/12/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus ilex L.,54442,Quercus ilex L.,54442,3288,Fagaceae,bdtfx,Montpellier,34,2008/10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus tenerrimus L.,65231,Sonchus tenerrimus L.,65231,1234,Asteraceae,bdtfx,Montpellier,34,2012/01/18,,,,,"43,61616","3,86953",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthus mollis L.,74930,Acanthus mollis L.,74930,29922,Acanthaceae,bdtfx,Montpellier,34,2012/01/18,,,Pied d'arbre et pied de mur.,,"43,61662","3,86953",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia dealbata Link,96,Acacia dealbata Link,96,2762,Fabaceae,bdtfx,Montpellier,34,2008/01/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parietaria judaica L.,47921,Parietaria judaica L.,47921,5641,Urticaceae,bdtfx,Montpellier,34,2012/01/18,,,,,"43,61755","3,86953",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagus acutifolius L.,7214,Asparagus acutifolius L.,7214,6269,Asparagaceae,bdtfx,Montpellier,34,2012/01/25,Mas de Costebelle,,Délaissé urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum salicaria L.,40631,Lythrum salicaria L.,40631,3792,Lythraceae,bdtfx,Montpellier,34,2011/06/10,,Bord de la Lironde,,sortie APIEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus fruticosus L.,58089,Rubus fruticosus L.,58089,4921,Rosaceae,bdtfx,Montpellier,34,2011/06/18,,Bord de la Lironde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx,Montpellier,34,2012/01/26,Jardin Partagé Mélina Mercouri,Jardin Partagé Mélina Mercouri,Lisiére de jardin,,"43,61351","3,90871",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurus nobilis L.,38070,Laurus nobilis L.,38070,3750,Lauraceae,bdtfx,Montpellier,34,2012/01/30,Mas Costebelle,,Friche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia characias L.,25806,Euphorbia characias L.,25806,2689,Euphorbiaceae,bdtfx,Montpellier,34,2012/01/30,Mas Costebelle,,Friche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer negundo L.,74932,Acer negundo L.,74932,29924,Sapindaceae,bdtfx,Montpellier,34,2012/01/30,Mas Costebelle,,Friche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum tinus L.,71463,Viburnum tinus L.,71463,1973,Adoxaceae,bdtfx,Montpellier,34,2012/01/30,Mas Costebelle,,Friche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nerium oleander L.,75257,Nerium oleander L.,75257,30249,Apocynaceae,bdtfx,Montpellier,34,2012/01/30,Mas Costebelle,,Friche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maclura pomifera (Raf.) C.K.Schneid.,40647,Maclura pomifera (Raf.) C.K.Schneid.,40647,3848,Moraceae,bdtfx,Montpellier,34,2008/01/12,Jardin des Plantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmiana simplex (L.) W.Wight,27956,Firmiana simplex (L.) W.Wight,27956,3808,Malvaceae,bdtfx,Montpellier,34,2008/01/12,Jardin des Plantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillyrea latifolia L.,48861,Phillyrea latifolia L.,48861,3959,Oleaceae,bdtfx,Montpellier,34,2009/04/11,Jardin des Plantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine hirsuta L.,12878,Cardamine hirsuta L.,12878,1592,Brassicaceae,bdtfx,Montpellier,34,2012/02/12,beaux-arts,,cour d'immeuble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegilops ovata L.,957,Aegilops geniculata Roth,939,6580,Poaceae,bdtfx,Montpellier,34,2008/05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium rotundifolium L.,30056,Geranium rotundifolium L.,30056,3438,Geraniaceae,bdtfx,Montpellier,34,2008/05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacyclus clavatus (Desf.) Pers.,4352,Anacyclus clavatus (Desf.) Pers.,4352,390,Asteraceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronilla valentina subsp. glauca (L.) Batt.,19014,Coronilla glauca L.,18979,2859,Fabaceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylis glomerata subsp. glomerata,21113,Dactylis glomerata subsp. glomerata ,21113,9674,Poaceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erophila verna (L.) Chevall.,25208,Draba verna L.,22994,1653,Brassicaceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium aparine L.,28896,Galium aparine L.,28896,5037,Rubiaceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lathyrus cicera L.,37865,Lathyrus cicera L.,37865,2941,Fabaceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus spinosa L.,53652,Prunus spinosa L.,53652,4847,Rosaceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisymbrium irio L.,64651,Sisymbrium irio L.,64651,1803,Brassicaceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica cymbalaria Bodard,71145,Veronica cymbalaria Bodard,71145,5506,Plantaginaceae,bdtfx,Montpellier,34,2009/03/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendula arvensis L.,12140,Calendula arvensis L.,12140,513,Asteraceae,bdtfx,Montpellier,34,2010/01/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum tinus L.,71463,Viburnum tinus L.,71463,1973,Adoxaceae,bdtfx,Montpellier,34,2010/01/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valerianella locusta (L.) Laterr.,70673,Valerianella locusta (L.) Laterr.,70673,5700,Caprifoliaceae,bdtfx,Montpellier,34,2012/02/17,,Jardin des plantes,,"Noms communs: Mâche sauvage, doucette, rampon, valérianelle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia peplus L.,25996,Euphorbia peplus L.,25996,7570,Euphorbiaceae,bdtfx,Montpellier,34,2012/02/20,Rue Auguste Broussonnet,161-165-impair,Plate bande,j'ai un doute,"43,61566","3,87244",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borago officinalis L.,9966,Borago officinalis L.,9966,1350,Boraginaceae,bdtfx,Montpellier,34,2010/04/29,parc méric,,prairie fleurie,,"43,62999","3,89045",,WGS84,7,6,5,4,3,6,6,0,4,0,13/4.0.1,,,,,,,,,,,,,,,,,,,,,,,,
Quercus ilex L.,54442,Quercus ilex L.,54442,3288,Fagaceae,bdtfx,Montpellier,34,2011/09/13,,Restinclière,Garrigues,,"43,72546","4,04537",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium porrum subsp. porrum,80064,Allium porrum L.,3151,6239,Amaryllidaceae,bdtfx,Montpellier,34,2012/03/11,Quatre-Seigneurs,friche à l'angle route de mende et rue arthur young,friche et talus,cueillette pour la soupe de salades sauvages,"43,64458","3,86166",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata subsp. lanceolata,49951,Plantago lanceolata L.,49948,4094,Plantaginaceae,bdtfx,Montpellier,34,2012/03/11,Quatre-Seigneurs,friche à l'angle route de mende et rue arthur young,friche et talus,cueillette pour la soupe de salades sauvages,"43,64458","3,86166",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamium purpureum L.,37538,Lamium purpureum L.,37538,3568,Lamiaceae,bdtfx,Montpellier,34,2012/03/11,Quatre-Seigneurs,friche à l'angle route de mende et rue arthur young,friche et talus,cueillette pour la soupe de salades sauvages,"43,64458","3,86166",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
